t_ns,x,y,z,deviation_m
1780651956203685009,0.39710063812529683,0.018216458522729805,0.2784165221622921,0.00030118201377575326
1780651956215295175,0.3971008531023279,0.017887292381725022,0.27845257167452636,0.00026399929276370873
1780651956224433370,0.3971007356025731,0.0176079251258088,0.2784821057666533,0.00023140185098762764
1780651956234532511,0.39710092032695915,0.017282596448645708,0.2785261197579122,0.00020283783321957676
1780651956244265025,0.3971007807124776,0.01700660835798897,0.27856263220699296,0.0001777940725465615
1780651956256575061,0.3971008814841112,0.016707110470186977,0.2786545943787992,0.0002016425489600332
1780651956266514500,0.3971006932499929,0.016451158719991935,0.2787283663294764,0.0002173182694996548
1780651956276531145,0.39710080457085284,0.016169523485646972,0.27885353158261555,0.00027747447797060216
1780651956286614499,0.3971006215617069,0.015929197187175913,0.27895634825761234,0.0003249171338436689
1780651956297716745,0.39710077116869463,0.015661263504723005,0.2791069793172923,0.0004129386148784069
1780651956307626656,0.397100611629421,0.01543294814967993,0.2792321195070399,0.00048480628648717606
1780651956317282467,0.39710080286072547,0.015175543273524099,0.27940231829908474,0.0004967059202561952
1780651956330122432,0.3971006678925107,0.014956457892672241,0.2795446124129447,0.0004353613933817704
1780651956339231834,0.3971008941032739,0.014707143839889657,0.27972984769296,0.0003815785275515185
1780651956347840983,0.3971007780817194,0.014495151204563878,0.27988532346599326,0.00033444807581141725
1780651956358099060,0.3971010297872035,0.014252054359508274,0.28008211348932693,0.00029312802272113354
1780651956367964357,0.39710092549387155,0.014045512029985677,0.28024771863869846,0.0002569217610159601
1780651956378192451,0.3971011932990044,0.013807192566168632,0.2804533878871543,0.0002251817087345135
1780651956388826184,0.3971010939369034,0.013604838383190907,0.28062677689994675,0.00019737198226062113
1780651956398417776,0.3971013702127529,0.013370189891782625,0.2808392694740202,0.00017299773011992197
1780651956409306570,0.3971012705037008,0.0131710539758641,0.2810186400048243,0.00015164283828038243
1780651956419158766,0.3971015495209244,0.012939226264471103,0.2812363760630362,0.00013293421871149807
1780651956429094563,0.3971014457311896,0.012742563338991326,0.28142034310829517,0.00011654287504597719
1780651956439492794,0.3971017235186417,0.012512903106809595,0.2816421086229976,0.0001021951027428033
1780651956449700291,0.39710161327431764,0.012318140490387486,0.2818296078739573,8.96223515399374e-05
1780651956459953025,0.39710188930856033,0.012114585928150193,0.28206926544926575,0.00010642495452712933
1780651956470819586,0.3971024465190625,0.01190781728395219,0.28234526729094944,0.00014584834077115206
1780651956480994545,0.3971024999968417,0.011729823081959738,0.28257969419718654,0.00017761421653276056
1780651956492675072,0.39710228021499056,0.011573443587497241,0.28278605238228083,0.0002057975370104523
1780651956502197198,0.3971024772802034,0.011404322522330288,0.2830413573186098,0.0002583742072557782
1780651956511963519,0.3971022890276509,0.011259746876174676,0.2832566707029433,0.00030130076054699437
1780651956522028553,0.39710253040182075,0.01110051333309461,0.2835208925358359,0.0002966643598843299
1780651956532364457,0.3971030764490045,0.010932557102649378,0.2838184085576913,0.00026002773061661356
